Length (mm),Width (mm),Height (mm),Concrete compressive strength (MPa),Longitudinal steel yield strength (MPa),Longitudinal steel reinforcement ratio (%),Transverse steel yield strength (MPa),Transverse steel reinforcement ratio (%),Axial load ratio,Spacing of transverse steel (mm),Reflected pressure (MPa),Reflected impulse (MPa-msec),Displacement height ratio,Maximum displacement (mm)
150,100,1980,46.5,483,2.67,580,1.52,0,50,0.022,0.12,0.5,13.9
150,100,1980,46.5,483,2.67,580,1.52,0,50,0.038,0.158,0.5,20.8
150,100,1980,46.5,483,2.67,580,1.52,0.42,50,0.023,0.193,0.5,24.2
150,100,1980,46.5,483,2.67,580,1.52,0.42,50,0.04,0.426,0.5,66.4
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.051,0.193,0.5,15
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.058,0.222,0.5,19.2
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.09,0.362,0.5,76.4
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.048,0.176,0.5,7.5
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.05,0.194,0.5,13.5
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.058,0.228,0.5,18.2
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.024,0.141,0.5,3.5
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.04,0.242,0.5,19.4
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.053,0.324,0.5,45.5
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.022,0.133,0.5,5.1
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.038,0.235,0.5,22
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.045,0.305,0.5,52
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.015,0.183,0.5,15
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.03,0.255,0.5,24
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.09,0.763,0.5,208
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.015,0.107,0.5,2.2
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.025,0.221,0.5,16.8
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.079,0.656,0.5,264
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.014,0.182,0.5,14.4
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.025,0.269,0.5,27.5
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.068,0.683,0.5,171
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.013,0.156,0.5,10.8
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.024,0.243,0.5,21.4
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.064,0.6,0.5,156
150,100,1980,58,483,2.67,580,1.52,0.35,50,0.026,0.44,0.5,61.8
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.014,0.28,0.5,18.4
150,100,1980,58,483,2.67,580,3.04,0.35,25,0.029,0.438,0.5,58
150,100,1980,58,483,1.78,580,0.86,0.28,75,0.04,0.242,0.5,9.6
150,100,1980,58,483,1.78,580,0.86,0.28,75,0.057,0.324,0.5,18.8
